0.00.170.922 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.318.524 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-BF16-00001-of-00002.gguf'
1.58.775.375 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
1.58.837.911 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.58.838.328 I srv  llama_server: model loaded
1.58.838.337 I srv  llama_server: listening on http://127.0.0.1:8090
2.01.016.787 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.15.148.698 I slot print_timing: id  1 | task 2 | n_decoded =    410, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.18.035.295 I slot print_timing: id  2 | task 1 | n_decoded =    420, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.18.036.121 I slot print_timing: id  3 | task 0 | n_decoded =    420, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.18.354.161 I slot print_timing: id  0 | task 4 | n_decoded =    420, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.18.355.009 I slot print_timing: id  1 | task 2 | n_decoded =    420, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.21.240.564 I slot print_timing: id  2 | task 1 | n_decoded =    430, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.21.241.416 I slot print_timing: id  3 | task 0 | n_decoded =    430, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.21.559.508 I slot print_timing: id  0 | task 4 | n_decoded =    430, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.21.560.342 I slot print_timing: id  1 | task 2 | n_decoded =    430, tg =   3.15 t/s, tg_3s =   3.12 t/s
4.24.446.359 I slot print_timing: id  2 | task 1 | n_decoded =    440, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.24.447.187 I slot print_timing: id  3 | task 0 | n_decoded =    440, tg =   3.13 t/s, tg_3s =   3.12 t/s
4.24.765.226 I slot print_timing: id  0 | task 4 | prompt eval time =    2869.86 ms /    30 tokens (   95.66 ms per token,    10.45 tokens per second)
4.24.765.235 I slot print_timing: id  0 | task 4 |        eval time =  139924.76 ms /   440 tokens (  318.01 ms per token,     3.14 tokens per second)
4.24.765.237 I slot print_timing: id  0 | task 4 |       total time =  142794.62 ms /   470 tokens
4.24.765.249 I slot print_timing: id  0 | task 4 |    graphs reused =        438
4.24.765.390 I slot      release: id  0 | task 4 | stop processing: n_tokens = 469, truncated = 0
4.24.766.257 I slot print_timing: id  1 | task 2 | n_decoded =    440, tg =   3.14 t/s, tg_3s =   3.12 t/s
4.25.023.965 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.107 (> 0.100 thold), f_keep = 0.006
4.25.549.062 I slot launch_slot_: id  0 | task 447 | processing task, is_child = 0
4.27.696.489 I slot print_timing: id  2 | task 1 | n_decoded =    446, tg =   3.10 t/s, tg_3s =   1.85 t/s
4.27.697.343 I slot print_timing: id  3 | task 0 | n_decoded =    446, tg =   3.10 t/s, tg_3s =   1.85 t/s
4.28.016.230 I slot print_timing: id  1 | task 2 | n_decoded =    446, tg =   3.12 t/s, tg_3s =   1.85 t/s
4.30.901.753 I slot print_timing: id  2 | task 1 | n_decoded =    456, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.30.902.571 I slot print_timing: id  3 | task 0 | n_decoded =    456, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.31.221.493 I slot print_timing: id  1 | task 2 | n_decoded =    456, tg =   3.12 t/s, tg_3s =   3.12 t/s
4.34.107.103 I slot print_timing: id  2 | task 1 | n_decoded =    466, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.34.107.946 I slot print_timing: id  3 | task 0 | n_decoded =    466, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.34.426.809 I slot print_timing: id  1 | task 2 | n_decoded =    466, tg =   3.12 t/s, tg_3s =   3.12 t/s
4.37.312.571 I slot print_timing: id  2 | task 1 | n_decoded =    476, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.37.313.543 I slot print_timing: id  3 | task 0 | n_decoded =    476, tg =   3.10 t/s, tg_3s =   3.12 t/s
4.37.632.844 I slot print_timing: id  1 | task 2 | n_decoded =    476, tg =   3.12 t/s, tg_3s =   3.12 t/s
4.40.526.399 I slot print_timing: id  2 | task 1 | n_decoded =    486, tg =   3.10 t/s, tg_3s =   3.11 t/s
4.40.527.228 I slot print_timing: id  3 | task 0 | n_decoded =    486, tg =   3.10 t/s, tg_3s =   3.11 t/s
4.40.847.582 I slot print_timing: id  1 | task 2 | n_decoded =    486, tg =   3.12 t/s, tg_3s =   3.11 t/s
4.43.751.742 I slot print_timing: id  2 | task 1 | n_decoded =    496, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.43.752.578 I slot print_timing: id  3 | task 0 | n_decoded =    496, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.44.072.969 I slot print_timing: id  1 | task 2 | n_decoded =    496, tg =   3.11 t/s, tg_3s =   3.10 t/s
4.46.971.821 I slot print_timing: id  2 | task 1 | n_decoded =    506, tg =   3.10 t/s, tg_3s =   3.11 t/s
4.46.972.634 I slot print_timing: id  3 | task 0 | n_decoded =    506, tg =   3.10 t/s, tg_3s =   3.11 t/s
4.47.293.076 I slot print_timing: id  1 | task 2 | n_decoded =    506, tg =   3.11 t/s, tg_3s =   3.11 t/s
4.50.192.586 I slot print_timing: id  2 | task 1 | n_decoded =    516, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.50.193.422 I slot print_timing: id  3 | task 0 | n_decoded =    516, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.50.513.800 I slot print_timing: id  1 | task 2 | n_decoded =    516, tg =   3.11 t/s, tg_3s =   3.10 t/s
4.53.413.053 I slot print_timing: id  2 | task 1 | n_decoded =    526, tg =   3.10 t/s, tg_3s =   3.11 t/s
