0.00.167.587 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.245.567 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B-ThinkingCap/ThinkingCap-Qwen3.6-27B-Q8_0-MTP.gguf'
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.46.340.530 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.46.340.600 I srv  llama_server: model loaded
0.46.340.608 I srv  llama_server: listening on http://127.0.0.1:8090
0.50.182.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.33.221.480 I slot print_timing: id  2 | task 1 | n_decoded =    540, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.33.222.319 I slot print_timing: id  3 | task 2 | n_decoded =    540, tg =   5.43 t/s, tg_3s =   5.24 t/s
2.36.269.479 I slot print_timing: id  0 | task 3 | n_decoded =    556, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.36.270.310 I slot print_timing: id  1 | task 0 | n_decoded =    556, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.36.271.128 I slot print_timing: id  2 | task 1 | n_decoded =    556, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.36.271.945 I slot print_timing: id  3 | task 2 | n_decoded =    556, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.39.318.955 I slot print_timing: id  0 | task 3 | n_decoded =    572, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.39.319.815 I slot print_timing: id  1 | task 0 | n_decoded =    572, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.39.320.684 I slot print_timing: id  2 | task 1 | n_decoded =    572, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.39.321.542 I slot print_timing: id  3 | task 2 | n_decoded =    572, tg =   5.42 t/s, tg_3s =   5.25 t/s
2.42.368.061 I slot print_timing: id  0 | task 3 | n_decoded =    588, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.42.368.890 I slot print_timing: id  1 | task 0 | n_decoded =    588, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.42.369.714 I slot print_timing: id  2 | task 1 | n_decoded =    588, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.42.370.530 I slot print_timing: id  3 | task 2 | n_decoded =    588, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.45.417.664 I slot print_timing: id  0 | task 3 | n_decoded =    604, tg =   5.41 t/s, tg_3s =   5.25 t/s
