ts,n,min_w,max_w,mean_w,over_cap,over_cap10,over_cap20,junction_c
1789054200,20,280.0,384.0,334.6,12,4,4,84
1789054202,20,252.0,377.0,329.1,10,5,3,84
1789054203,20,246.0,386.0,330.2,12,4,4,85
1789054204,20,236.0,380.0,332.6,13,4,3,84
1789054205,20,252.0,374.0,329.1,10,4,4,85
1789054206,20,277.0,356.0,324.8,8,3,1,84
1789054207,20,90.0,364.0,317.7,8,4,3,85
1789054208,20,260.0,362.0,328.1,11,3,2,79
1789054209,20,235.0,366.0,330.4,10,6,2,85
1789054210,20,278.0,360.0,327.3,10,3,1,85
1789054211,20,65.0,359.0,315.6,9,3,1,85
1789054212,20,255.0,366.0,319.2,8,4,3,77
1789054213,20,252.0,353.0,327.9,8,4,2,79
1789054214,20,325.0,336.0,330.2,11,0,0,78
1789054215,20,306.0,337.0,328.1,8,0,0,78
1789054216,20,56.0,368.0,261.0,7,2,2,78
1789054217,20,324.0,337.0,329.6,9,0,0,78
1789054218,20,55.0,355.0,311.2,9,1,1,55
1789054219,20,53.0,54.0,53.1,0,0,0,48
1789054220,20,51.0,368.0,188.1,6,3,3,78
1789054221,20,195.0,387.0,329.1,10,3,3,83
1789054222,20,239.0,379.0,326.4,7,4,2,84
1789054223,20,256.0,376.0,325.9,9,2,2,84
1789054224,20,277.0,351.0,326.6,9,2,1,83
1789054225,20,288.0,354.0,328.9,9,2,1,81
1789054226,20,252.0,374.0,328.8,9,4,3,85
1789054227,20,254.0,375.0,327.2,10,5,3,84
1789054228,20,300.0,364.0,327.6,9,2,2,85
1789054229,20,243.0,377.0,326.6,10,4,2,85
1789054230,20,255.0,353.0,326.9,8,6,1,80
1789054231,20,282.0,363.0,330.6,8,6,3,86
1789054232,20,274.0,378.0,324.9,7,3,2,81
1789054233,20,267.0,405.0,332.9,7,3,3,85
1789054234,20,280.0,361.0,327.6,10,2,2,85
1789054235,20,236.0,397.0,328.4,8,5,2,86
1789054236,20,258.0,361.0,313.9,6,2,1,79
1789054237,20,313.0,335.0,329.4,8,0,0,78
1789054238,20,53.0,342.0,267.6,6,1,0,79
1789054239,20,314.0,361.0,332.4,10,3,2,78
1789054240,20,304.0,342.0,329.6,9,2,0,78
1789054241,20,310.0,334.0,328.8,6,0,0,78
1789054242,20,314.0,339.0,328.6,9,0,0,79
1789054244,20,51.0,335.0,83.7,1,0,0,49
1789054245,20,51.0,88.0,68.7,0,0,0,48
1789054246,20,78.0,380.0,234.2,6,4,4,83
1789054247,20,260.0,372.0,328.8,8,2,1,77
1789054248,20,320.0,356.0,332.8,11,3,3,84
1789054249,20,234.0,346.0,325.5,10,3,0,84
1789054250,20,264.0,371.0,327.9,9,3,2,83
1789054251,20,285.0,370.0,334.1,10,6,5,86
1789054252,20,231.0,367.0,325.3,10,3,1,85
1789054253,20,258.0,372.0,328.5,10,3,3,85
1789054254,20,225.0,357.0,324.5,8,2,1,83
1789054255,20,270.0,358.0,328.2,11,1,1,85
1789054256,20,250.0,374.0,332.0,11,6,5,86
1789054257,20,269.0,379.0,331.4,10,5,2,85
1789054258,20,250.0,376.0,330.4,13,5,3,86
1789054259,20,247.0,370.0,326.9,8,5,3,86
1789054260,20,270.0,347.0,322.5,7,3,0,85
1789054261,20,206.0,381.0,325.9,10,4,3,85
1789054262,20,110.0,360.0,304.2,5,2,2,79
1789054263,20,319.0,345.0,329.9,10,1,0,78
1789054264,20,326.0,340.0,331.1,10,0,0,79
