..........................................................................................................done
...done

task	acc_norm
622	49.51768489
623	49.43820225
624	49.51923077
625	49.60000000
626	49.52076677
627	49.44178628
628	49.52229299
629	49.60254372
630	49.52380952
631	49.44532488
632	49.36708861
633	49.44707741
634	49.36908517
635	49.44881890
636	49.37106918
637	49.45054945
638	49.52978056
639	49.60876369
640	49.68750000
641	49.76599064
642	49.84423676
643	49.92223950
644	49.84472050
645	49.92248062
646	49.84520124
647	49.76816074
648	49.69135802
649	49.61479199
650	49.53846154
651	49.61597542
652	49.69325153
653	49.77029096
654	49.69418960
655	49.61832061
656	49.54268293
657	49.61948250
658	49.54407295
659	49.62063733
660	49.69696970
661	49.77307110
662	49.69788520
663	49.77375566
664	49.84939759
665	49.92481203
666	49.84984985
667	49.92503748
668	49.85029940
669	49.92526158
670	50.00000000
671	50.07451565
672	50.14880952
673	50.22288262
674	50.14836795
675	50.22222222
676	50.14792899
677	50.22156573
678	50.14749263
679	50.22091311
680	50.29411765
681	50.22026432
682	50.29325513
683	50.21961933
684	50.29239766
685	50.36496350
686	50.29154519
687	50.36390102
688	50.29069767
689	50.36284470
690	50.28985507
691	50.36179450
692	50.28901734
693	50.36075036
694	50.28818444
695	50.21582734
696	50.14367816
697	50.21520803
698	50.14326648
699	50.21459227
700	50.28571429
701	50.21398003
702	50.28490028
703	50.21337127
704	50.28409091
705	50.35460993
706	50.28328612
707	50.21216407
708	50.14124294
709	50.07052186
710	50.14084507
711	50.07032349
712	50.14044944
713	50.21037868
714	50.28011204
715	50.34965035
716	50.41899441
717	50.48814505
718	50.41782730
719	50.34770515
720	50.27777778
721	50.20804438
722	50.13850416
723	50.20746888
724	50.27624309
725	50.34482759
726	50.41322314
727	50.34387895
728	50.27472527
729	50.34293553
730	50.27397260
731	50.20519836
732	50.13661202
733	50.06821282
734	50.00000000
735	50.06802721
736	50.00000000
737	49.93215739
738	49.86449864
739	49.93234100
740	50.00000000
741	49.93252362
742	50.00000000
743	50.06729475
744	50.00000000
745	49.93288591
746	49.86595174
747	49.79919679
748	49.86631016
749	49.93324433
750	49.86666667
751	49.80026631
752	49.73404255
753	49.66799469
754	49.73474801
755	49.66887417
756	49.73544974
757	49.80184941
758	49.73614776
759	49.67061924
760	49.60526316
761	49.67148489
762	49.60629921
763	49.67234600
764	49.73821990
765	49.67320261
766	49.73890339
767	49.67405476
768	49.73958333
769	49.67490247
770	49.61038961
771	49.67574578
772	49.74093264
773	49.80595084
774	49.74160207
775	49.80645161
776	49.74226804
777	49.67824968
778	49.61439589
779	49.55070603
780	49.61538462
781	49.55185659
782	49.48849105
783	49.55300128
784	49.61734694
785	49.55414013
786	49.61832061
787	49.55527319
788	49.61928934
789	49.55640051
790	49.62025316
791	49.68394437
792	49.62121212
793	49.55863808
794	49.49622166
795	49.43396226
796	49.37185930
797	49.43538269
798	49.49874687
799	49.56195244
800	49.50000000
801	49.43820225
802	49.37655860
803	49.31506849
804	49.25373134
805	49.31677019
806	49.25558313
807	49.19454771
808	49.13366337
809	49.19653894
810	49.13580247
811	49.19852035
812	49.13793103
813	49.20049200
814	49.26289926
815	49.20245399
816	49.26470588
817	49.20440636
818	49.14425428
819	49.08424908
820	49.02439024
821	49.08647990
822	49.02676399
823	49.08869988
824	49.02912621
825	48.96969697
826	49.03147700
827	49.09310762
828	49.15458937
829	49.09529554
830	49.03614458
831	48.97713598
832	48.91826923
833	48.97959184
834	48.92086331
835	48.98203593
836	49.04306220
837	48.98446834
838	49.04534606
839	49.10607867
840	49.04761905
841	49.10820452
842	49.16864608
843	49.22894425
844	49.17061611
845	49.11242604
846	49.17257683
847	49.23258560
848	49.17452830
849	49.23439340
850	49.29411765
851	49.35370153
852	49.29577465
853	49.23798359
854	49.29742389
855	49.35672515
856	49.41588785
857	49.35822637
858	49.30069930
859	49.24330617
860	49.30232558
861	49.36120790
862	49.30394432
863	49.36268830
864	49.42129630
865	49.36416185
866	49.30715935
867	49.25028835
868	49.19354839
869	49.25201381
870	49.19540230
871	49.25373134
872	49.19724771
873	49.25544101
874	49.31350114
875	49.37142857
876	49.42922374
877	49.48688712
878	49.54441913
879	49.48805461
880	49.43181818
881	49.37570942
882	49.43310658
883	49.49037373
884	49.43438914
885	49.49152542
886	49.43566591
887	49.49267193
888	49.43693694
889	49.49381327
890	49.55056180
891	49.49494949
892	49.55156951
893	49.49608063
894	49.55257271
895	49.60893855
896	49.55357143
897	49.60981048
898	49.55456570
899	49.61067853
900	49.55555556
901	49.61154273
902	49.66740576
903	49.61240310
904	49.66814159
905	49.72375691
906	49.77924945
907	49.72436604
908	49.66960352
909	49.61496150
910	49.56043956
911	49.61580681
912	49.56140351
913	49.50711939
914	49.45295405
915	49.39890710
916	49.45414847
917	49.50926936
918	49.45533769
919	49.40152339
