..........................................................................................................done
...done

task	acc_norm
863	49.01506373
864	49.07407407
865	49.01734104
866	48.96073903
867	48.90426759
868	48.84792627
869	48.90678941
870	48.85057471
871	48.90929966
872	48.85321101
873	48.91179840
874	48.97025172
875	49.02857143
876	49.08675799
877	49.14481186
878	49.20273349
879	49.14675768
880	49.09090909
881	49.03518729
882	49.09297052
883	49.15062288
884	49.09502262
885	49.15254237
886	49.09706546
887	49.15445321
888	49.09909910
889	49.15635546
890	49.21348315
891	49.15824916
892	49.21524664
893	49.16013438
894	49.21700224
895	49.27374302
896	49.21875000
897	49.27536232
898	49.22048998
899	49.27697442
900	49.22222222
901	49.27857936
902	49.22394678
903	49.16943522
904	49.22566372
905	49.28176796
906	49.33774834
907	49.28335171
908	49.22907489
909	49.17491749
910	49.12087912
911	49.17672887
912	49.12280702
913	49.06900329
914	49.01531729
915	48.96174863
916	49.01746725
917	49.07306434
918	49.01960784
919	48.96626768
920	48.91304348
921	48.96851249
922	49.02386117
923	49.07908992
924	49.02597403
925	48.97297297
926	48.92008639
927	48.86731392
928	48.81465517
929	48.76210980
930	48.70967742
931	48.65735768
932	48.60515021
933	48.55305466
934	48.50107066
935	48.55614973
936	48.50427350
937	48.55923159
938	48.50746269
939	48.56230032
940	48.51063830
941	48.45908608
942	48.51380042
943	48.56839873
944	48.62288136
945	48.67724868
946	48.73150106
947	48.68004224
948	48.62869198
949	48.57744995
950	48.52631579
951	48.47528917
952	48.42436975
953	48.47848898
954	48.53249476
955	48.48167539
956	48.43096234
957	48.38035528
958	48.32985386
959	48.27945777
960	48.33333333
961	48.38709677
962	48.44074844
963	48.39044652
964	48.44398340
965	48.49740933
966	48.55072464
967	48.50051706
968	48.55371901
969	48.60681115
970	48.55670103
971	48.50669413
972	48.55967078
